Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2,4,47nF,
"C10, C8",CP_Radial_D5.0mm_P2.50mm,2,100µF 16V,
"C11, C12",C_Axial_L10.0mm_D6mm_P12.00mm_Horizontal,2,330pF,
C13,CP_Radial_D4.0mm_P2.00mm,1,22µF,
"C14, C15, C16",CP_Radial_D18.0mm_P7.50mm,3,47µF 400V,
"C5, C6",C_Axial_L15.0mm_D7mm_P18.00mm_Horizontal,2,220nF,
"C7, C9",CP_Radial_D10.0mm_P5.00mm,2,4.7µF 400V,
D1,Diode_Bridge_Vishay_KBPC810,1,VS-KBPC810,
D2,D_DO-35_SOD27_P7.62mm_Horizontal,1,1N4148,
F1,Fuse_Littelfuse_372_D8.50mm,1,T200mA,
F2,Fuse_Littelfuse_372_D8.50mm,1,T2.5A,
"H1, H2, H3",MountingHole_3.2mm_M3,3,MountingHole,
H4,MountingHole_3.2mm_M3_Pad_Via,1,MountingHole_Pad,
J1,KF2510-3P,1,Audio in,
J10,TerminalBlock_LCSC_P5.08mm,1,Ext resistor,
"J2, J5",TerminalBlock_LCSC_P5.08mm_4,2,Tandberg 691,
J3,TerminalBlock_LCSC_P5.08mm,1,Speaker L,
J4,KF2510-5P,1,Bass boost,
J6,TerminalBlock_LCSC_P5.08mm,1,Speaker R,
J7,TerminalBlock_LCSC_P5.08mm_4,1,HighVoltage,
J8,TerminalBlock_LCSC_P5.08mm_4,1,Heaters 6.3V,
J9,PinHeader_1x02_P2.54mm_Vertical,1,Power LED,
"R1, R2",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,10MΩ,
"R10, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,510kΩ,
"R11, R12",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,7.5kΩ,
"R13, R14, R15, R16",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,4,3.3kΩ,
"R17, R18",R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,2,160Ω 1W,
R19,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,1,100Ω 2W,
R20,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,1,330Ω,
"R21, R22",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,330kΩ,
R23,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,1,8.2kΩ 2W,
"R3, R5",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,1.2kΩ,
"R4, R6",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,200kΩ,
"R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,2,150Ω,
RV1,Potentiometer_Alps_RK163_Dual_Horizontal,1,200kΩ,
SW1,JS202011CQN,1,SW_DPDT_x2,
V1,Socket_Noval_Ceramic_1,1,ECC83,
"V2, V3",Socket_Noval_Ceramic_1,2,EL84,
